name,job_time,job_type,salary,pay_method,address,num,job_detail,salary_detail,job_time_detail,address_detail
陌陌电台招音频主播（20以下勿报）,工作时间：长期可做,主播,200 元/天,月结,北京,,因为音频需要相对安静的直播环境和每天3小时以上的时长 不能保证的请勿报名 谢谢配合<br/><br/>招募要求：<br/>0.音频电台主播是直播互动类 靠声音跟内容吸引用户互动关注然后付费的<br/>1.普通话非常标准 声音好听 萝莉音  少音 少御音 御姐音 王音等等<br/>2.有一定的基础 例如播音主持 汉语言 声乐等 相关专业 在其他类型的音频APP直播过等<br/>3.学历专科或者以上<br/><br/><br/>直播内容：<br/>1、音乐电台：翻唱（有声乐基础 ），分享音乐背后的故事等等 （单纯爱好请勿报名 需有基础）<br/>2、脱口秀：搞笑段子、新闻热评、电影影评人、新/星闻八卦等<br/>3、情感电台：情感故事，情感连线咨询、两性情感（阅历丰富 有一定的心理知识）等<br/><br/>直播时长 每天3-6小时。直播越稳定收益越高 偶尔玩玩的别来耽误时间了。<br/><br/>应聘的请主动联系招聘方微信 并按照要求语音回复消息 谢谢。<br/><br/>做长期根据个人直播时间跟直播时长保底工资平均时薪20起 目前稳定直播两个月后月直播时长100小时+的薪资都在8000+,['\n月结\xa0薪资:200元/天 \xa0  薪资待遇-可日结周结月结                                  '],"['', '', '不限时间地点，随时可做', '', '']",[]
大厦保安周末不上班,工作时间：全职工作,安保,4230 元/月,月结,宣武,,工作内容:<br/>招聘保安身高175以上，工资3500起步。 上班就是早九晚六，工作内容十分简单。 负责好公司内部的安全巡查工作。 每月休息3天。 周末不用执勤，处于待岗状态。 身高175以上，年龄35岁以内，薪资3500+奖金 身高180以上，年龄35岁以内，薪资4500+奖金 公司提供食宿，免费提供服装被褥。 有意者可与我联系。<br/>,[],[],['北京西城南礼士南礼士路路                            \n                            \xa0(\n                            北京市                            宣武                            )']
美发助理学徒,工作时间：长期可做,美容美发,123 元/天,月结,宣武,,工作内容:<br/>急招美发助理 学徒 都可以 工资保底两千加提成 月休四天 有意者电话联系,['\n月结\xa0薪资:123元/天 \xa0                                 '],"['2019年12月04日', '', '', '09:00-18:00', '', '2020年12月03日', '']",['北京-海淀-明光桥                            \n                            \xa0(\n                            北京市                            宣武                            )']
前门必胜客招聘服务员 急急急,工作时间：长期可做,服务员,16.8 元/小时,月结,前门,,工作内容：1、为客人安排座位，拉椅方便客人入座；2、为客人提供餐饮服务，用最快的速度、最好的质量满足客人的各种需求。3、及时清理属于自己服务区域内的桌面，更换干净台布，并尽快重新摆好台位；4.头脑灵活、反应敏捷，能在客人示意前就已经为客人提供了服务；5.时刻保持热情、主动的态度，为客人提供最有效的服务；6、对设备及器皿的损坏与短缺汇报给领班；7、完成领导交办的临时性工作。<br/>职位要求：1、工作认真，踏实肯干；2、不限，普通话流利；3、有服务员工作经历优先；,['\n月结\xa0薪资:16.8元/小时 \xa0                                 '],"['2019年11月07日', '', '', '09:00-18:00', '', '2020年11月07日', '']",['前门西大街正阳市场一号楼102铺位和二层必胜客欢乐餐厅                            \n                            \xa0(\n                            北京市                            前门                            )']
公司直招保安包吃住3千8,工作时间：全职工作,安保,3990 元/月,月结,宣武,,工作内容:<br/>公司承诺：所有岗位均当天办理入职安排食宿，按时发放工资，绝不拖欠！入职到离职不收取任何费用及押金，人走账清！如遇没钱买生活用品的队员，入职10日后可预支生活费。 一、任职资格： 1、年龄，18岁至45岁，初中以上学历。 2、具有良好的服务意识，仪表端庄、认真负责、文明执勤、礼貌待人，努力奉行“顾客至上、服务第一”的服务宗旨。 3、有管理员相关经验或退伍军人优先考虑。 二、岗位职责： 1.负责所有进出公司的车辆安全，负责维修保养车辆的进出、停放的安全及维修出店放车条收缴工作。 2.夜间负责进出车辆、人员的管<br/>,[],[],['北京市崇文区东花市                            \n                            \xa0(\n                            北京市                            宣武                            )']
银行形象岗3千8三班倒,工作时间：全职工作,安保,3990 元/月,月结,宣武,,工作内容:<br/>一、入职条件 1.性，18-45周岁，身高165m以上； 2.必须持有本人二代有效身份证原件； 3.会说普通话，学历不限，退伍军人优先； 4.身体健康的青年； 5.思想品德好、热爱保安工作、能服从分配； 6.符合以上条件，应聘一定要电话联系，合适的岗位等着你。 二、岗位职责 1.每天工作6小时左右； 2 .每周平均有1天休息； 3.每月综合工资3000-4000元； 4.每季度至全年有8-30天带薪休假。 5.值勤时间每天6-8个小时，其余为备勤时间。 6.公司定期给保安员发放劳保用品； 7.银行大厅执<br/>,[],[],['北京市通州区北关环岛                            \n                            \xa0(\n                            北京市                            宣武                            )']
会电脑接电话客服包吃住,工作时间：全职工作,话务客服,3210 元/月,月结,宣武,,工作内容:负责接听客户来电，安排本公司工作人员作业。<br/>要求：1.，年龄18-35岁；<br/>2. 熟练使用电脑word/excel；<br/>3. 热情好学，语言表达流利。<br/>做过网店客服优先，月休四天，包食宿。（广告勿扰）,[],[],['北京-丰台-洋桥                            \n                            \xa0(\n                            北京市                            宣武                            )']
全国招主播才艺者优先未成年不要报名,工作时间：长期可做,主播,500 元/天,月结,北京,,本公司有大型的管理团队 你只需要带着你的颜值才艺直播时长 其余的交给我们 全程辅助你成长<br/>第一种选择：YY平台兼职交友嘉宾主播:颜值中上 丑拒（颜值优秀者待遇可加） 性格开朗 有充裕自由时间 网络稳定 一部手机即可直播 工作地点不限，可在家直播， 试用期一周，试用期满按开播表现及开播时长制定底薪（每天要求时长4小时），底薪为3000-10000每月，月收益提成超出底薪按照实际收益发放。YY交友非常简单一个手机支架一部手机好的网络就OK<br/>第二种选择： YY，陌陌等平台全职才艺主播：颜值优秀有一定才艺 口齿伶俐。有固定的直播时间。在家即可直播 底薪4000-10000（每天直播4小时以上）全职是指拿直播作为唯一的工作 专心致志  士无才艺者勿扰,['\n月结\xa0薪资:500元/天 \xa0  薪资待遇-优秀者有保底 超出保底部分按照实际收益发放 待遇优厚  薪资有的可以日结有的月结根据平台要求来                                 '],"['', '', '不限时间地点，随时可做', '', '']",[]
直招巡逻岗形象岗四千,工作时间：全职工作,安保,4230 元/月,月结,宣武,,工作内容:<br/>郑重承诺：本公司入职绝不收取任何费用，不用体检，不压身份证，不培训，不训练，当天安排食宿。 要求性18-58岁，身高1.65米以上，无前科，无重大疾病。 1，政府机关形象岗8小时半坐半站，一小时一换，月休2-3天，工资4000包吃住，要求净身高1米78以上，35岁以下。 2，坐岗，巡逻岗10小时3600-4200，轻松不累，月休2-4天，要求净身高170以上，40岁以下。 3，普通岗，坐岗，58岁以下，165以上工资3300-3500，包吃住。 4，孩，车场收费员工资3300-3500，包吃住，，35<br/>,[],[],['北京海淀北京大学                            \n                            \xa0(\n                            北京市                            宣武                            )']
