name,job_time,job_type,salary,pay_method,address,num,job_detail,salary_detail,job_time_detail,address_detail
重磅！月薪过万，就近分配 APP推广员,工作时间：全职工作,实习生,8k-20k 元/月,月结,房山,,轻松月薪过万名企！<br/>生鲜配送站点  APP推广！<br/>工作内容：在工作的站点附近通过赠送礼品的方式生鲜超市推广APP。<br/>工作时间：9.00-19.00<br/>工作地点：全北京就近分配！！<br/>工作要求：不限，踏实肯干，吃苦耐劳<br/>工资待遇：3000元底薪+12元---14元 一单提成，综合工资8K-20K！,[],[],"['房山长阳站                            \n                            \xa0(\n                            北京市                            房山                            )', '七里庄站                            \n                            \xa0(\n                            北京市                            丰台                            )', '大红门站                            \n                            \xa0(\n                            北京市                            丰台                            )']"
和合谷长期小时工,工作时间：全职工作,服务员,3.5k-4k 元/月,月结,朝阳建外大街,,【兼职】和合谷招聘长期兼职餐饮小时工<br/>【薪资】闲时16元/小时+忙时20/小时，节假日双薪，满4小时提供一顿免费餐<br/>每个月10号斗米发薪，工资保障；<br/>【要求】不限，50岁以下，长期做，不要周末兼职，能接受门店排班；<br/>【时间】4-8小时排班，上六休一，时间自由可长期兼职；<br/>【门店】全北京就近分配，家门口上班<br/>名额有限招满为止，加好友备注和合谷；,[],[],"['和合谷阳光100店                            \n                            \xa0(\n                            北京市                            朝阳                            )', '和合谷skp店                            \n                            \xa0(\n                            北京市                            朝阳                            )', '和合谷富顿店                            \n                            \xa0(\n                            北京市                            朝阳                            )']"
高薪美团买菜就近分配 打包分拣员,工作时间：全职工作,店员,6k-9k 元/月,月结,海淀中关村,,不对外营业 生鲜配送好站点 店员招聘<br/>工作内容：<br/>1.将客户订单上的物品打包好等配送员来取<br/>2.负责接货，上货，盘点<br/>3.负责接听客户打进来的咨询以及投诉电话<br/>工作时间：<br/>早班：07:00-19:00<br/>中班：09:00-21:00<br/>晚班：20:00-08:00（夜班补助30元每天）<br/>轮休：上六休一<br/>工作要求：<br/>1. 20-40岁，初高中以上学历，有仓库或零售工作经验优先<br/>2. 吃苦耐劳，能接受较强的工作压力；工作认真负责。<br/>3. 能适应轮班和夜班的工作安排及主管的其他任务安排<br/><br/><br/>工资待遇：2600元底薪+2480元绩效+900元房/餐补<br/>工作地点：全北京就近分配,[],[],"['豪柏大厦                            \n                            \xa0(\n                            北京市                            海淀                            )', '房山长阳站                            \n                            \xa0(\n                            北京市                            房山                            )', '七里庄站                            \n                            \xa0(\n                            北京市                            丰台                            )']"
全国招主播才艺者优先未成年不要报名,工作时间：长期可做,主播,500 元/天,月结,北京,,本公司有大型的管理团队 你只需要带着你的颜值才艺直播时长 其余的交给我们 全程辅助你成长<br/>第一种选择：YY平台兼职交友嘉宾主播:颜值中上 丑拒（颜值优秀者待遇可加） 性格开朗 有充裕自由时间 网络稳定 一部手机即可直播 工作地点不限，可在家直播， 试用期一周，试用期满按开播表现及开播时长制定底薪（每天要求时长4小时），底薪为3000-10000每月，月收益提成超出底薪按照实际收益发放。YY交友非常简单一个手机支架一部手机好的网络就OK<br/>第二种选择： YY，陌陌等平台全职才艺主播：颜值优秀有一定才艺 口齿伶俐。有固定的直播时间。在家即可直播 底薪4000-10000（每天直播4小时以上）全职是指拿直播作为唯一的工作 专心致志  士无才艺者勿扰,['\n月结\xa0薪资:500元/天 \xa0  薪资待遇-优秀者有保底 超出保底部分按照实际收益发放 待遇优厚  薪资有的可以日结有的月结根据平台要求来                                 '],"['', '', '不限时间地点，随时可做', '', '']",[]
北京各区急聘打包分拣配送员,工作时间：全职工作,理货员,8k-12k 元/月,月结,海淀学院路,,薪资福利：<br/>1、有车自带，没车公司安排；<br/>2、购买保险，每月有公休。<br/>3、补贴：高温补贴，严冬补贴，恶劣天气补贴，冲单奖，五星好评奖，奖励多多。<br/>4、薪资：基本工资+单量提成+福利津贴+保险，综合8000-10000元/月，工作时间：排班制<br/>排晋升渠道：骑手——组长——副站长——站长——区域经理。 正常干6000---8000元/月<br/>努力干8000---10000元/月<br/>使劲干10000以上（不封顶）<br/>岗位职责：<br/>1、及时接收客户外卖订单；<br/>2、准时配送客户外卖订单；<br/>3、系统自动派单，不存在人为操作，日均30-70单。<br/>任职要求：<br/>1、18-45岁内，不限，身体健康<br/>2、经验不限，学历不限，赚钱欲望强！<br/>3、能熟练操作智能手机<br/>4、能识别操作手机导航（不熟悉路线，外卖软件自带导航）。<br/>5入职会有老骑手带领，有组织，不迷路。<br/>站点直招，单量暴多，单价高！商圈取餐餐厅集中，跑单路况好！保证单量充足!<br/>工作地点：丰台区  朝阳区 东城区 西城区 海淀区,[],[],"['海淀区学院路京果商厦                            \n                            \xa0(\n                            北京市                            海淀                            )', '丰台区松榆南路38号美景东方                            \n                            \xa0(\n                            北京市                            朝阳                            )', '西城区玉林南路1号                            \n                            \xa0(\n                            北京市                            丰台                            )']"
包吃住高薪太二酸菜鱼服务员,工作时间：全职工作,服务员,4.7k-5.2k 元/月,月结,朝阳大望路,,招聘岗位：店小二（）；迎宾（）<br/>招聘岗位：前厅店小二<br/>岗位职责：<br/>1.  提供最佳顾客服务和用餐体验；<br/>2.  服从店长的工作安排。<br/>任职要求：<br/>1.   16岁以上，中专及以上学历；<br/>2.   身体健康，学习能力强；<br/>3.   当得了神神，有逗B潜力；<br/>4.   外向，话唠有个性或特长优先（如街舞、乐器、美术等）；<br/>5.   身高必须： 生>172  生>162。<br/>薪资：<br/>均薪：4700/月，两个月后开始晋升加薪。<br/>福利；月休五天，包吃包住，每季度欢乐活动，快速晋升等。<br/>工作时间：早十-晚十，中午有休息<br/>入职全部购买四险，无一金，无养老险。<br/>太二酸菜鱼：前厅迎宾<br/>岗位职责：<br/>1.  提供最佳顾客服务和用餐体验；<br/>2.  服从店长的工作安排。<br/>任职要求：<br/>1.   16岁以上，中专及以上学历；<br/>2.   身体健康，学习能力强；<br/>3.   当得了神，有逗B潜力；<br/>4.   外向，话唠有个性或特长优先（如街舞、乐器、美术等）；<br/>5.   身高  生>162。<br/>均薪：5200/月<br/>福利：月休五天，包吃包住，每季度欢乐活动，快速晋升，迎宾补贴等。<br/>入职全部购买四险，无一金，无养老险。,[],[],"['太二老坛子酸菜鱼(华贸购物中心店)                            \n                            \xa0(\n                            北京市                            朝阳                            )', '太二酸菜鱼(王府井APM店)                            \n                            \xa0(\n                            北京市                            东城                            )', '太二酸菜鱼(北京大兴龙湖天街店)                            \n                            \xa0(\n                            北京市                            大兴                            )']"
配送员（360/天）包吃住,工作时间：全职工作,普工,5k-8k 元/月,月结,东城东四,,一、要求：<br/>1、年龄16-40周岁，不限.初中及以上学历；<br/>2、身体健康、不晕车、无犯罪记录；<br/>3、能吃苦耐劳、人品端正、能适应长期在外出差；<br/>4、退伍军人或有物流工作经验的优先；<br/>配送员薪资：<br/>1、短途：底薪6000元/月，综合工资6500/月，补贴100/天、负责郑州周边城市当天往返。<br/>2、长途：底薪8000/月；200/天补贴；综合8500/月；主要负责深圳、湖北等周边远距离送货；出差5/7天，回来休2-3天.<br/>岗位职责：<br/>1、负责指定线路内的物品送达，保证货物能够安全到达指定地点；<br/>2、负责所运载物品的监督、指挥装卸车（无须卸货），检查等工作，签收回执单；<br/>3、协助完成物品签收、产品确认等日常事务；<br/>4、协助完成每日的运输统计，监督司机送货途中是否有无故改变行程，拖延送货时间等情况；<br/>5、货物出现问题和客户进行相应的沟通和协商，不能解决时及时反应给公司相关品质工程师（IPQC）进行处理.,[],[],"['福华路(北京市东城)(北京市东城)(北京市东城)                            \n                            \xa0(\n                            北京市                            东城                            )', '福华三路(北京市东城)(北京市东城)(北京市东城)                            \n                            \xa0(\n                            北京市                            东城                            )', '益田路(北京市东城)(北京市东城)(北京市东城)                            \n                            \xa0(\n                            北京市                            东城                            )']"
打包分拣员配送员高薪就业,工作时间：全职工作,送餐员,7k-11k 元/月,月结,海淀北太平庄,,工作内容：<br/>职位要求：1:岗位职责与要求：18-35周身体健康持有健康证，（条件优秀可放宽2岁），（1）分拣员：负责站点订单的拣货扫码和包装；（2）配送员：负责站点订单准时送达客户，拉新用户；（3）水产员：负责站点水产的养殖与订单处理；（4）夜班接货：负责夜班来货接收清点上架；（5）仓管：负责站点左右物品的出入库协助站长处理订单的调配。<br/>2:薪资构成：无责底薪3200-3600元，饭贴480元，房贴360元，分拣每单提成0.5元，配送员提成每单2.7元好评+1元/单，仓管、水产、夜班、分拣、配送、绩效奖金（500-4000），综合收入6500-8000元，分拣、配送做得好月入10000以上<br/>3:上班地址：苏州各区就近匹配；<br/>4:车辆使用要求：可以自带车（必须保障电量够用）；也可公司配车，工作服等其他装备公司统一配备（免费）,[],[],"['北京市海淀区花园北路乙28号院-1号楼(北京市海淀)                            \n                            \xa0(\n                            北京市                            海淀                            )', '北京市海淀区文慧园斜街西段(北京市海淀)                            \n                            \xa0(\n                            北京市                            海淀                            )', '北京市海淀区文慧园北路12号(北京市海淀)                            \n                            \xa0(\n                            北京市                            海淀                            )']"
每日优鲜生鲜配送8k+就近分,工作时间：全职工作,快递配送,7k-9k 元/月,月结,西城,,"每日优鲜直招生鲜超市配送骑手、<br/>【工作内容】：<br/>骑电动车配送，3-4公里内距离，固定取货点，配送效率高。无需抢单，系统优化派单，每次可携带多单。<br/>薪资：<br/>【薪资待遇】：<br/>1、每单5.5元，每天日均40-60单（基础单价+冲单奖励）<br/>2、冲单奖励：满900单奖励300元。满1200单，奖励600元<br/>【配送物资】：<br/>生鲜，水果，蔬菜，牛奶，面包，饮料，零食等生活用品及食品小件商品<br/>【工作要求】：<br/>1、年龄18~49岁以内，身体健康，能办健康证，乐观积极会骑车用手机导航。<br/>2、有无经验均可,能吃苦耐劳。<br/>不提供电动车住宿吃饭均需自己解决<br/><br/><br/>每日优鲜直招生鲜超市配送骑手、<br/>【工作内容】：<br/>骑电动车配送，3-4公里内距离，固定取货点，配送效率高。无需抢单，系统优化派单，每次可携带多单。<br/>薪资：<br/>【薪资待遇】：<br/>1、每单5.5元，每天日均40-60单（基础单价+冲单奖励）<br/>2、冲单奖励：满900单奖励300元。满1200单，奖励600元<br/>【配送物资】：<br/>生鲜，水果，蔬菜，牛奶，面包，饮料，零食等生活用品及食品小件商品<br/>【工作要求】：<br/>1、年龄18~50岁以内，身体健康，能办健康证，乐观积极会骑车用手机导航。<br/>2、有无经验均可,能吃苦耐劳。<br/>可以提供共享床位800-1200详细情况可以来我们门店了解 电动车吃饭需要自己解决",[],[],"['朝阳区大街人定湖北巷11号                            \n                            \xa0(\n                            北京市                            西城                            )', '西城区冰窖口胡同新海巷8号                            \n                            \xa0(\n                            北京市                            西城                            )', '海淀 区铸城大厦                            \n                            \xa0(\n                            北京市                            海淀                            )']"
（国企）急聘保安+公司直招包吃住,工作时间：全职工作,安保,4k-5k 元/月,月结,朝阳,,薪资待遇：<br/>4000-5000不等，工资概不拖欠，人走账清。<br/>郑重承诺：<br/>公司人事部直招，不收取任何费用，没有试用期，没有培训，面试当天可安排住宿，签订国家正规合同可直接安排上岗！！（切记收费的都是骗子，请大家勿盲目相信高薪保安职位）<br/>福利待遇;<br/>1、宿舍；有空调，可洗澡；伙食，标准餐；宿舍6-8人间，通风不潮湿，能洗澡，有无线，工作轻松，吃住环境好。<br/>2、免费提供食宿，四季衣服，被褥，劳保用品，无线网，防暑降温食品；<br/>3、公司承诺入职到离职不收取任何费用及押金，以上职务为公司直招当天办理入职安排食宿，在我公司工作10天以上可预支工资。<br/>对表达能力强，处事能力强的员工在公司可以提升为队长，班队长，项目经理。确实掌握安全事宜，巡岗及各指定岗位；遵行保安经理之指示，服从领导安排。有很大的发展空间。当天安排上班，所有人员包吃住，免费发放服装被褥，带好个人洗漱用品<br/>年龄18到45周岁，身高170以上。<br/>岗位要求：身体健康，无纹身，无疾病，无前科。,[],[],"['酒仙桥                            \n                            \xa0(\n                            北京市                            朝阳                            )', '上地                            \n                            \xa0(\n                            北京市                            海淀                            )', '北京大兴国际机场                            \n                            \xa0(\n                            北京市                            大兴                            )']"
